original_filename,Label,tag
---j12rm3WI_000014_000024.mp4,328,using_bagging_machine
--5kVeU1uco_000046_000056.mp4,48|294,chiseling_stone|stone_carving
--5urtlw6gs_000049_000059.mp4,69|278,crossing_eyes|smile
--65_UAU7ao_000000_000010.mp4,187|169,physical_exercise|mountain_climber_exercise_
--6XapylEsA_000046_000056.mp4,217|241,playing_with_trains|recreation
--6zxbYq5M4_000039_000049.mp4,192,planing_wood
--9JDn2oaEw_10.0_12.0.mp4,241|125,recreation|hitting_a_pinata
--9N3YdTOIM_39.0_41.0.mp4,241|17,recreation|baton_twirling
--9N3YdTOIM_80.0_82.0.mp4,241|52|17|100,recreation|choreography|baton_twirling|figure_skating
--9zAxIOlbo_000008_000018.mp4,210,playing_pinball
--AC9Wionlg_000000_000010.mp4,77,delivering_mail
--CNAjJZhNY_000009_000019.mp4,238,raising_eyebrows
--DDIxyAwIk_6.0_8.0.mp4,82|241,doing_a_powerbomb|recreation
--E8kQc4oeE_000281_000291.mp4,278|20,smile|blowdrying_hair
--EZD1uEVhM_000062_000072.mp4,230,putting_in_contact_lenses
--GEr5-PyTI_000000_000010.mp4,145|83|241,learning|doing_jigsaw_puzzle|recreation
--GaSxELz-8_000039_000049.mp4,217,playing_with_trains
--H6ZFJXDq4_6.5_8.5.mp4,241|125,recreation|hitting_a_pinata
--JBrgsW5UI_26.5_28.5.mp4,144|241,layup_drill_in_basketball|recreation
--LrHkjbax8_000001_000011.mp4,69,crossing_eyes
--NL-GP04Ls_179.5_181.5.mp4,241|125,recreation|hitting_a_pinata
--Nixnc9DQg_000017_000027.mp4,157|241|289,making_balloon_shapes|recreation|standing
--O2qCO6zBI_000025_000035.mp4,222,pouring_beer
--O4p15yejk_000350_000360.mp4,225,preparing_salad
--QG-bjOFSA_000000_000010.mp4,186|241|337,photograph|recreation|wading_through_water
--RN6XH2x8k_141.0_143.0.mp4,59|156|108,cooking|making_an_omelette|frying
--RuMpNXawk_000277_000287.mp4,258,sausage_making
--SSk3r84yw_000000_000010.mp4,309,throwing_knife
--TgcS0No3k_000001_000011.mp4,262,separating_eggs
--U3pqp_C5g_000120_000130.mp4,123,head_stand
--VtCsmlD18_000047_000057.mp4,312|241|177,throwing_water_balloon|recreation|outdoor_recreation
--YKMD5LYtw_000073_000083.mp4,50,chopping_meat
--YXAAC0WWA_000035_000045.mp4,271|161,sitting|making_paper_aeroplanes
--Z5dqN2hKY_81.5_83.5.mp4,216|298|241,playing_water_polo|swimming|recreation
--_-T3-Qvg4_34.5_36.5.mp4,302|241,table_soccer|recreation
--_-T3-Qvg4_45.5_47.5.mp4,302|241,table_soccer|recreation
--_-T3-Qvg4_60.0_62.0.mp4,302,table_soccer
--_3Wbv-1YY_000319_000329.mp4,210|278,playing_pinball|smile
--_fOePZDoY_000033_000043.mp4,45,changing_gear_in_car
--_oZL56SVA_000140_000150.mp4,149,lighting_fire
--ayR6l14VQ_42.5_44.5.mp4,241|19,recreation|beach_soccer
--bQb-k_Tjs_000009_000019.mp4,187|289|334,physical_exercise|standing|vacuuming_floor
--bsBWWySaQ_24.0_26.0.mp4,79|241,disc_dog|recreation
--bsBWWySaQ_50.0_52.0.mp4,79|241,disc_dog|recreation
--cIG2WqOf4_000000_000010.mp4,269,shuffling_feet
--cOOZbreL4_000111_000121.mp4,124|241|266,historical_reenactment|recreation|shooting
--cYQ0Ag2D8_000000_000010.mp4,146,leatherworking
--g9CJ6MWTE_000000_000010.mp4,277|271,smelling_feet|sitting
--gMWIQlLvs_000122_000132.mp4,149,lighting_fire
--gdlZhyZcg_000001_000011.mp4,71|241|289,curling_sport_|recreation|standing
--gwXkVlrUY_139.0_141.0.mp4,85|241,doing_kickboxing|recreation
--i8Hiv5H4o_39.0_41.0.mp4,241|135|223,recreation|jumping|powerbocking
--i8Hiv5H4o_44.0_46.0.mp4,75|241|223,cycling|recreation|powerbocking
--i8Hiv5H4o_84.5_86.5.mp4,241|223,recreation|powerbocking
--iGd5Zf7-k_000005_000015.mp4,50,chopping_meat
--ijHZ19K_M_000022_000032.mp4,72,cutting_apple
--ixUOhZodk_000056_000066.mp4,92|88,eating|drooling
--jDtmT7ijg_1.5_3.5.mp4,248|241,river_tubing|recreation
--jDtmT7ijg_20.5_22.5.mp4,23|248|241,boating|river_tubing|recreation
--jDtmT7ijg_9.0_11.0.mp4,248|241,river_tubing|recreation
--jfcGztatc_000006_000016.mp4,6,archaeological_excavation
--lmBtwsdBc_000000_000010.mp4,335,visiting_the_zoo
--mLOzFpQoo_000004_000014.mp4,211,playing_ping_pong
--nosQjor8k_7.0_9.0.mp4,193,plataform_diving
--oGGqMZmAA_000000_000010.mp4,289|295|18,standing|strength_training|battle_rope_training
--otNzh-C1Q_000020_000030.mp4,153,looking_at_phone
--pwwUIq5R0_11.0_13.0.mp4,37|252,calf_roping|rodeo
--qyQNsbPnA_000154_000164.mp4,186|271|214,photograph|sitting|playing_scrabble
--rSKL-i6qQ_000015_000025.mp4,200|183,playing_gong|percussion
--sCqFa_j-A_000197_000207.mp4,150,lock_picking
--unzJlMpeM_000047_000057.mp4,218,poking_bellybutton
--vWkSa7Po8_000067_000077.mp4,185|226,photocopying|print
--veKG73Di4_105.0_107.0.mp4,241|196|183,recreation|playing_congas|percussion
--veKG73Di4_110.0_112.0.mp4,162|196|183,marching_percussion|playing_congas|percussion
--veKG73Di4_59.5_61.5.mp4,196|183,playing_congas|percussion
--veKG73Di4_64.0_66.0.mp4,241|196|183,recreation|playing_congas|percussion
--xtMMzsKgM_000016_000026.mp4,150,lock_picking
--zQjc3cT3s_15.5_17.5.mp4,162|196|183,marching_percussion|playing_congas|percussion
-0-5DjKqC-I_55.0_57.0.mp4,162|196|183,marching_percussion|playing_congas|percussion
-002n8G5Ty0_000027_000037.mp4,307,threading_needle
-06S_2g51gY_000008_000018.mp4,175,opening_wine_bottle
-06eY3PEL9k_000003_000013.mp4,186|275|164,photograph|sleeping|massaging_neck
-08hnyF57BE_000011_000021.mp4,324,using_a_power_drill
-0BpVQEChv8_2.0_4.0.mp4,280,snow_tubing
-0BpVQEChv8_5.5_7.5.mp4,280|241,snow_tubing|recreation
-0BpVQEChv8_8.5_10.5.mp4,280|241,snow_tubing|recreation
-0Db_ktMTtg_13.0_15.0.mp4,120,hand_car_wash
-0Db_ktMTtg_23.0_25.0.mp4,120|241|177,hand_car_wash|recreation|outdoor_recreation
-0Db_ktMTtg_8.0_10.0.mp4,120,hand_car_wash
-0EvnroWpVc_000002_000012.mp4,322,using_a_microscope
-0FwN4ESkWY_000121_000131.mp4,210|241,playing_pinball|recreation
-0Fwkoyy2GI_000105_000115.mp4,217|241,playing_with_trains|recreation
-0HOXzejQVw_000018_000028.mp4,127|241,huddling|recreation
-0IoUizxRgg_000065_000075.mp4,278|213,smile|playing_rubiks_cube
-0KZHI6UISM_000004_000014.mp4,63,cracking_knuckles
-0Llfq_N3P8_000041_000051.mp4,250,roasting_marshmallows
-0O1t6CF8aM_1.5_3.5.mp4,74|241,cutting_the_grass|recreation
-0O1t6CF8aM_11.0_13.0.mp4,74|241,cutting_the_grass|recreation
-0O1t6CF8aM_15.0_17.0.mp4,74,cutting_the_grass
-0O1t6CF8aM_36.0_38.0.mp4,74,cutting_the_grass
-0O7bTV_v7Q_17.0_19.0.mp4,302,table_soccer
-0O7bTV_v7Q_21.5_23.5.mp4,302|145,table_soccer|learning
-0SjqzJKQOM_000014_000024.mp4,95|75|241,falling_off_bike|cycling|recreation
-0UhLeBCvHE_000036_000046.mp4,13,base_jumping
-0VuI18dbn0_39.5_41.5.mp4,253,rollerblading
-0XtezGo2MM_000064_000074.mp4,8,assembling_bicycle
-0YdR9X0XGw_000014_000024.mp4,230,putting_in_contact_lenses
-0ZxijKLTgE_000204_000214.mp4,101,fixing_bicycle
-0_OtgdFNws_72.5_74.5.mp4,286,spread_mulch
-0dm6YN4aYA_34.5_36.5.mp4,241|223,recreation|powerbocking
-0dm6YN4aYA_75.0_77.0.mp4,241|223,recreation|powerbocking
-0dm6YN4aYA_78.5_80.5.mp4,241|223,recreation|powerbocking
-0ex2By5d8A_000373_000383.mp4,146,leatherworking
-0g3eQYArEg_000000_000010.mp4,128,hugging_baby
-0hijc1QF9M_16.0_18.0.mp4,241|19,recreation|beach_soccer
-0hijc1QF9M_33.5_35.5.mp4,241|19,recreation|beach_soccer
-0hijc1QF9M_52.0_54.0.mp4,241|12|19,recreation|ball_game|beach_soccer
-0i-0rcqj_4_000199_000209.mp4,91,dyeing_eyebrows
-0j7OgkQNe4_000160_000170.mp4,73,cutting_orange
-0oOhwW5i8I_000000_000010.mp4,173,opening_door
-0p4vG6a5gY_000086_000096.mp4,320,tying_shoe_laces
-0pMQbEe8Po_000004_000014.mp4,87|75|168|136,downhill_mountain_biking|cycling|mountain_biking|jumping_bicycle
-0sXtbpbKSk_000010_000020.mp4,278|271|347,smile|sitting|winking
-0tjNvMa1V0_000073_000083.mp4,106,fly_tying
-0tkkA6mm4Y_29.0_31.0.mp4,241|125|177,recreation|hitting_a_pinata|outdoor_recreation
-0tkkA6mm4Y_49.5_51.5.mp4,241|125,recreation|hitting_a_pinata
-0tkkA6mm4Y_67.5_69.5.mp4,241|125,recreation|hitting_a_pinata
-0tkkA6mm4Y_9.5_11.5.mp4,241|125,recreation|hitting_a_pinata
-0uI3UBQShA_114.5_116.5.mp4,245|241,riding_bumper_cars|recreation
-0uI3UBQShA_25.0_27.0.mp4,245|241,riding_bumper_cars|recreation
-0uI3UBQShA_61.5_63.5.mp4,245|241,riding_bumper_cars|recreation
-0uI3UBQShA_79.5_81.5.mp4,245|241,riding_bumper_cars|recreation
-0uYwPkdl1M_000163_000173.mp4,59|225,cooking|preparing_salad
-1-kRjKWOjs_000000_000010.mp4,69|278,crossing_eyes|smile
