original_filename,Label,tag
---j12rm3WI_000014_000024.mp4,73|225,factory|toolroom
--6XapylEsA_000046_000056.mp4,172|3|154,race_track|amusement_park|park
--9JDn2oaEw_10.0_12.0.mp4,89|246,garden|yard
--9N3YdTOIM_80.0_82.0.mp4,114|206,ice_rink|sport_venue
--AC9Wionlg_000000_000010.mp4,5|2|146|110|228|213|40|177|104|170|186,apartment|alley|neighbourhood|house|town|street|building|residential_area|home|property|road
--H6ZFJXDq4_6.5_8.5.mp4,224,theatre
--JBrgsW5UI_26.5_28.5.mp4,126|206|25,leisure_centre|sport_venue|basketball_court
--NL-GP04Ls_179.5_181.5.mp4,171,public_space
--QG-bjOFSA_000000_000010.mp4,31|199|193|144|35,beach|shore|sea|natural_resources|body_of_water
--SSk3r84yw_000000_000010.mp4,5|81|110|104|170|188,apartment|floor|house|home|property|room
--VtCsmlD18_000047_000057.mp4,171,public_space
--Z5dqN2hKY_81.5_83.5.mp4,178|126|218,resort|leisure_centre|swimming_pool
--bQb-k_Tjs_000009_000019.mp4,81,floor
--bsBWWySaQ_24.0_26.0.mp4,202|156|93|70,sky|pasture|grassland|ecoregion
--bsBWWySaQ_50.0_52.0.mp4,77|206|156|93|189,field|sport_venue|pasture|grassland|rural_area
--gdlZhyZcg_000001_000011.mp4,114,ice_rink
--gwXkVlrUY_139.0_141.0.mp4,126|206,leisure_centre|sport_venue
--i8Hiv5H4o_44.0_46.0.mp4,124,lane
--jDtmT7ijg_1.5_3.5.mp4,202|144,sky|natural_resources
--jDtmT7ijg_20.5_22.5.mp4,202|193|144,sky|sea|natural_resources
--jDtmT7ijg_9.0_11.0.mp4,242|144|168,waterway|natural_resources|pond
--jfcGztatc_000006_000016.mp4,77|202|156|93|189|105|53|145|121|101|164|123,field|sky|pasture|grassland|rural_area|horizon|coast|nature_reserve|land_lot|highland|plain|landscape
--lmBtwsdBc_000000_000010.mp4,247,zoo
--mLOzFpQoo_000004_000014.mp4,81|188,floor|room
--nosQjor8k_7.0_9.0.mp4,67,dock
--oGGqMZmAA_000000_000010.mp4,96|188,gym|room
--pwwUIq5R0_11.0_13.0.mp4,202|173|8|123,sky|ranch|arena|landscape
--rSKL-i6qQ_000015_000025.mp4,209,stage
-05faw86Ljo_70.0_72.0.mp4,96,gym
-0BpVQEChv8_2.0_4.0.mp4,202|137|242|144|139,sky|mountain|waterway|natural_resources|mountain_range
-0BpVQEChv8_5.5_7.5.mp4,223|202|184|205|120|139,terrain|sky|river|snow_covered_landscape|lake|mountain_range
-0BpVQEChv8_8.5_10.5.mp4,202|205|144,sky|snow_covered_landscape|natural_resources
-0Fwkoyy2GI_000105_000115.mp4,172,race_track
-0HOXzejQVw_000018_000028.mp4,146|228|213|186,neighbourhood|town|street|road
-0O1t6CF8aM_1.5_3.5.mp4,202|121|93,sky|land_lot|grassland
-0O1t6CF8aM_11.0_13.0.mp4,202|121|77|75|93,sky|land_lot|field|farm|grassland
-0O1t6CF8aM_15.0_17.0.mp4,202|121,sky|land_lot
-0O1t6CF8aM_36.0_38.0.mp4,202|121|134|246,sky|land_lot|meadow|yard
-0O7bTV_v7Q_21.5_23.5.mp4,81|188,floor|room
-0SjqzJKQOM_000014_000024.mp4,172|202,race_track|sky
-0UhLeBCvHE_000036_000046.mp4,85|120|43|137|184|53|176|223|145|101|143|51|123,formation|lake|canyon|mountain|river|coast|reservoir|terrain|nature_reserve|highland|national_park|cliff|landscape
-0_OtgdFNws_72.5_74.5.mp4,77|13|246,field|backyard|yard
-0dm6YN4aYA_34.5_36.5.mp4,202,sky
-0dm6YN4aYA_75.0_77.0.mp4,171|40|213,public_space|building|street
-0dm6YN4aYA_78.5_80.5.mp4,202,sky
-0hijc1QF9M_16.0_18.0.mp4,81|206,floor|sport_venue
-0hijc1QF9M_33.5_35.5.mp4,8|206,arena|sport_venue
-0hijc1QF9M_52.0_54.0.mp4,8|206,arena|sport_venue
-0pMQbEe8Po_000004_000014.mp4,202|140|182|137|14|71|223|102|51|123,sky|mountainous_landforms|ridge|mountain|badlands|escarpment|terrain|hill|cliff|landscape
-0tkkA6mm4Y_29.0_31.0.mp4,166|171,playground|public_space
-0tkkA6mm4Y_49.5_51.5.mp4,166|171,playground|public_space
-0tkkA6mm4Y_67.5_69.5.mp4,166|154,playground|park
-0tkkA6mm4Y_9.5_11.5.mp4,166|171|154|134,playground|public_space|park|meadow
